tweetid,tweet_text,url,is_matching
879420868774047745,"High Court reinstates Trump travel ban, will hear arguments https://t.co/z4BFQV6GND https://t.co/z7xHeRZ6EK",https://www.wsmv.com/story/35749288/supreme-court-reinstates-trump-travel-ban,0
866350424009441280,The Latest: Hamas says Trump wrong about Palestinian group https://t.co/lwjBDBUmYT https://t.co/mPYSphdIE8,https://www.wsmv.com/story/35479677/the-latest-hamas-says-trump-wrong-about-palestinian-group,1
862870548812099584,Tapes of officer's testimony in shooting death released https://t.co/otPSC85hiu https://t.co/38vREzcLOM,https://www.wsmv.com/story/35411009/tapes-of-officers-testimony-in-shooting-death-released,1
862785175826116610,DA: Officer will not be charged in deadly shooting https://t.co/urYeUhZT7T https://t.co/1o9RBozDPu,https://www.wsmv.com/story/35400122/da-officer-will-not-be-charged-in-deadly-shooting,1
862392622702354433,Former Attorney General responds to Comey firing https://t.co/I7RXDTeuKb https://t.co/BlDWHHuTgM,https://www.wsmv.com/story/35396403/former-attorney-general-responds-to-comey-firing,1
859883328333381632,Officer will not be charged for shooting suspect after chase https://t.co/uGGEaL15il https://t.co/yAW5ks5ZV7,https://www.wsmv.com/story/35334243/officer-will-not-be-charged-for-shooting-suspect-after-chase,1
850515608387145728,Residents originally from Syria weigh in on missile strikes https://t.co/3yIvaxSnUe,https://www.wsmv.com/story/35100677/residents-originally-from-syria-weigh-in-on-missile-strikes,1
840334252940120065,AG Sessions asks for resignation of 46 U.S. attorneys https://t.co/SmETmaY6vz https://t.co/yE2uaaeyn1,https://www.wsmv.com/story/34726175/ag-sessions-asks-for-resignation-of-46-us-attorneys,1
835202708772646912,Murfreesboro teen sentenced for violent attack on another student https://t.co/8ElGZ17FOR https://t.co/CWp5pZ4iUg,https://www.wsmv.com/story/34598510/murfreesboro-teen-sentenced-for-violent-attack-on-another-student,1
832783751922991104,Witness describes scene of deadly police shooting https://t.co/9osZ95yA0u https://t.co/RTtHerschl,https://www.wsmv.com/story/34536151/witness-describes-scene-of-deadly-police-shooting,1
832632797386924032,AP report: Trump weighs mobilizing National Guard for immigration roundups https://t.co/nGIxbmb8JD https://t.co/MofNW64cv1,https://www.wsmv.com/story/34531445/ap-report-trump-weighs-mobilizing-national-guard-for-immigration-roundups,1
