,tweet_text,tweetid,cluster_label,relevance,theme
0,Exercising when your upset could lead to heart attacks ,785699436584239105,0,0,0
1,Physical strain emotional upset can trigger heart attack  health,785579778627674113,0,0,0
2,Why do celebrity heart attacks get our blood pumping  ,813819066817347588,0,0,0
3,Shortage of stresstest dye leads to more invasive heart procedures  health,750418389122756609,0,0,0
4,Only extreme sitting linked to increased heart disease risk  health,755783371276455937,0,0,0
5,Black Friday CD Ric Mathis  2500   blacktwitter BlackOwnedStores   ,701777778182590464,1,2,0
6,Womens Tshirt  Azalea  2500   blacktwitter BlackOwnedStores   ,702849360552456192,1,2,0
7,One Million TShirt  2300   blacktwitter BlackOwnedStores   ,701240919291330560,1,2,0
8,Womens Tshirt  White  2500   blacktwitter BlackOwnedStores   ,702766094327500800,1,2,0
9,Mens Tshirt  Daisy  2500   blacktwitter BlackOwnedStores   ,710471746105638912,1,2,0
10,One Million TShirt  2500   blacktwitter BlackOwnedStores   ,710386430569091072,1,2,0
11,Mens Tshirt  Tropical Blue  2500   blacktwitter BlackOwnedStores   ,703135711453540352,1,2,0
12,Men Think Black RBG Tee  2500   blacktwitter BlackOwnedStores   ,701218823437885440,1,2,0
13,In The Recruiting Huddle Hector Vargas  Ronald Reagan  ,829836374136279041,2,0,0
14,In The Recruiting Huddle Mark Fox Jr  Northwestern  ,865252449761861632,2,0,0
15,In The Recruiting Huddle Avery Thornton  Boyd Anderson  ,880081415538327552,2,0,0
16,In The Recruiting Huddle Brieon Fuller  Doral Academy  ,837804643996614656,2,0,0
17,In The Recruiting Huddle Jaquan Beaver  Booker T Washington  ,840347849934163969,2,0,0
18,In The Recruiting Huddle Torey Morrison  Keys Gate Charter  ,844639919767244804,2,0,0
19,75th anniversary of Pearl Harbor attacks  ,806475949109821440,3,0,0
20,Last Doolittle Raider 101 recalls attack 75 years later  ,853584375459577856,3,0,0
21,Pearl Harbor attack at 75 Vets keep memories alive  ,806364193184247808,3,0,0
22,Remains of heroic priest IDed 75 years after Pearl Harbor newspaper reports ,781505726363541505,3,0,0
23,75th Pearl Harbor anniversary marked aboard last ship from the attack  ,806637460356792320,3,0,0
24,Arizona commemorates 75th anniversary of Pearl Harbor attack  ,806670183184089091,3,0,0
25,Greek communists protest pension tax reforms  business,729048307188699136,4,1,28
26,Greek farmers rail against Tsipras as taxes loom  world news,690573720172163073,4,1,28
27,Greek communists protest pension tax reforms  news,729002042023280640,4,1,28
28,Council of Europe slams Greek prison conditions  news,704452721227599873,4,1,28
29,Greek lawmakers pass pension tax reforms after fiery debate  world news,729428994706178048,4,1,28
30, SoftenABadGuy  The Green Gobbler,828901799998263296,5,0,0
31,From Here To Fraternity AllMaleReboots,781058619609608192,5,0,0
32,The Man With The Golden Buns SoftenABadGuy,828908324234129408,5,0,0
33,The Piddler SoftenABadGuy ,828900080291815424,5,0,0
