,tweet_text,tweetid,cluster_label,relevance,theme
51067,In The Recruiting Huddle Nadab Joseph  Miami Edison,816121969024401408,0,0,0
44190,In The Recruiting Huddle Xavier Restrepo  Monarch,859140951784247296,0,0,0
43284,In The Recruiting Huddle Jean Desir  North Miami Beach,865644563184074754,0,0,0
30217,In The Recruiting Huddle Zaire Jacobs  St Thomas Aquinas,821812729275121664,0,0,0
95622,In The Recruiting Huddle TJ Craig  Miami Edison,855577051163754496,0,0,0
99408,In The Recruiting Huddle Colvin Alford  Coral Reef,822175111100977156,0,0,0
51668,In The Recruiting Huddle Terrell Perriman  Miami Central,839940211190685696,0,0,0
13163,RejectedLegoMinifigures La La Land crew winning the Oscar,836964563388141568,1,0,0
57814,RejectedLegoMinifigures Brazzers top 10,836959598074544128,1,0,0
71065,RejectedLegoMinifigures Putin,836961035227561984,1,0,0
86225,Colonoscopy play set RejectedLegoMinifigures,836962464805896192,1,0,0
98672,RejectedLegoMinifigures Racist cops,8.36961E+17,1,0,0
64867,RejectedLegoMinifigures American story X play set,836969425903431681,1,0,0
98958,RejectedLegoMinifigures The Statue of Liberty right boob,836957899423363073,1,0,0
67280,Egypt president vows to find and punish killers of Italian student  world news,710039532805095424,1,1,28
76961,Egypt House Speaker Wants Illegal Currency Dealers Executed,763455751700353024,1,1,28
39087,Italian killing highlights assault on academic freedom in Egypt  world news,702974551009853440,1,1,28
66364,Egyptian union head reported Italian student to police before murder  world news,774276174503522304,1,1,28
55851,Exclusive Egyptian police detained Italian student before his murder  sources  world news,723161016750612480,1,1,28
72514,Seen them More bald eagles seen in Valley,870645254021677056,3,0,0
45134,Live streaming cameras show bald eagles nesting,699684744347254784,3,0,0
80568,Bald eagles make big comeback in San Francisco Bay Area,849718357830098945,3,0,0
80520,Observers Hays bald eagles may have laid an egg in new nest,833479427191357440,3,0,0
4211,Shooting deaths of 2 bald eagles in Missouri investigated,695282690774274048,3,0,0
