,tweet_text,tweetid,cluster_label,relevance,theme
0,After More Than a Month We Continue to Wait on Aprils Calf  ,849936782460424192,0,0,0
1,April the WorldFamous NY Giraffe Goes Into Labor  ,853216672819400704,0,0,0
2,Aprils Calf Increases Activity Before a Quiet Spell  ,846319466246017024,0,0,0
3,April the Giraffes Baby Is Probably Bigger Than You  ,866003145142546432,0,0,0
4,April Is Back WorldFamous NY Giraffe Cam Returns This Week  ,856513874803273729,0,0,0
5,AddSethImproveAnything Sethgeddaboutit,777810540764602369,1,0,0
6,addsethimproveanything I want these motherfuckin Seths off this motherfuckin plane,777799334263869440,1,0,0
7,AddSethImproveAnything  Im gonna give you a pearl Sethlace you dirty Seth,777803033828810752,1,0,0
8,  Prequel to Sethback Mountain AddSethImproveAnything,777801601901670400,1,0,0
9,AddSethImproveAnything How to train your Seth,777811074997518336,1,0,0
10,AddSethImproveAnything This is not Seth ,777801704272195584,1,0,0
11,AddSethImproveAnything Every Seth You Take,777804386848219136,1,0,0
12,AddSethImproveAnything The Joy of Seth,777815208634961920,1,0,0
13, AddSethImproveAnything Fast,777803161046245376,1,0,0
14,addsethimproveanything Seth days does not a week make,777817586356682753,1,0,0
15,AddSethImproveAnything Seth in the city,777801114020347904,1,0,0
16,BREAKING Video has emerged showing the moment of explosion at Manchester arena England  ,866841712844570624,2,0,0
17,Fatalities confirmed amid reports of explosion at Ariana Grande concert at UKs Manchester Arena  ,866793124592529408,2,0,0
18,UK police Fatalities confirmed at Ariana Grande concert held at Manchester Arena  ,866798161981050880,2,0,0
19,Apparent suicide bomber at Ariana Grande concert in England kills 22  ,866973276031070209,2,0,0
20,UPDATE Police confirm they are responding to a serious incident at the Manchester Arena there are reports of injuries,866784259863924737,2,0,0
21,22 Dead Dozens Injured At Ariana Grande Concert At Manchester Arena  ,866954979751460869,2,0,0
22,Social Media Reaction Deadly Manchester bombing  ,867177185144168448,2,0,0
23,Bomb the shit out of ISIS  ManchesterBombing,866984161793462272,2,0,0
24,Chaos inside Manchester arena after explosion This is horrific  ,866846690086723585,2,0,0
25,New Street Art by Braga1   Marseille France    streetart art arte ,838850751199858688,3,0,0
