,tweet_text,tweetid,cluster_label,relevance,theme
0,TimeTravelerProblems spoilers are everywhere,759312757900644352,0,0,0
1,Exploring the past and present while getting impersonated by Barney Stinson in the present TimeTravelerProblems,759327643250536449,0,0,0
2,Still too many tourists TimeTravelerProblems,759336012015370240,0,0,0
3,TimeTravelerProblems family,759344578000322560,0,0,0
4,No Time Machine TimeTravelerProblems,759337310878064640,0,0,0
5,A slight chance of getting stuck in a never ending paradox of timelines and space without any way of escaping TimeTravelerProblems,759334293873111041,0,0,0
6, Hey Bana how did you get a signal if bombs exploded the area that youre currently in,851654698780180480,1,0,0
7,  How did you get a signal if bombs exploded the area that youre currently in,851654499227672576,1,0,0
8,Hey  how did you get signal while bombs are around,850948243923935233,1,0,0
9,How did you get your signal if youre in a warzone right now ,851340674964180993,1,0,0
10,     How did you get a signal if bombs exploded the area that youre currently in,851654454747082752,1,0,0
11,Can you answer my question  How did you get a signal after the bombs were dropped ,852316218325221376,1,0,0
12, How did you get a signal if bombs exploded the area that youre currently in,851654478168154113,1,0,0
13,  Hey Bana how did you get a signal if bombs exploded the area that youre currently in,851655014980308992,1,0,0
14, Get off your high horse Youre too fat and the horse is in pain,817942935148711936,2,0,0
15,Get off your high horse Youre too fat and the horse is in pain ,813643989786107904,2,0,0
16,horse laugh mustbebanned,768474726750621696,2,0,0
17,ItTurnedAwkward When Leo fell asleep in the dead horse,694165810894368768,2,0,0
18,Stolen Henry County horse extremely stressed after being dumped ,780150964615471106,2,0,0
19,  Get off your high horse Youre too fat and the horse is in pain,816858138968084480,2,0,0
20,LSU QB Brandon Harris to undergo sports hernia surgery this week  sports,684092524063887360,3,0,0
21,sports Panthers LB Kuechly to undergo shoulder surgery,700012491175100416,3,0,0
22,Pence lands on DL with hamstring injury  ,864258960911720449,3,0,0
23,Giants Hunter Pence set for hamstring surgery likely out 8 weeks ,739598684262801409,3,0,0
24,Bears Place Kevin White On Injured Reserve With Fractured Fibula ,783715844811526144,3,0,0
25,Australian minister says rights commissioner politicizing role  world news,790021081683922945,4,1,3
26,Australia votes in close poll as PM seeks reform mandate  world news,749155570918141952,4,1,3
27,Australia announces voting reforms signaling possible early polls  world news,701648008241291264,4,1,3
28,Australian PM Turnbull weighs early poll to break political deadlock  world news,694438809413378048,4,1,3
29,Australian police investigate Vatican treasurer over abuse ABC  world news,758418484783046656,4,1,3
30,Early election looms as Australian PM seeks to reform hostile Senate  world news,710330683336499201,4,1,3
31,These black artists created work that spoke volumes at the annual art show  14 Nina Chanel Abney ,806380218864701440,5,2,0
