,tweet_text,tweetid,cluster_label,relevance,theme
0,TopNews Muslim workers leave Wisconsin manufacturer jobs in prayer dispute,689582938585886720,0,1,1
1,Video Dozens of Muslims unemployed after Wisconsin manufacturing company adopts new prayer rules  news,688213657797304320,0,1,1
2,Local news Wisconsin manufacturer changes prayeronthejob policy ,688460935107760128,0,1,1
3,University of Kansas clears professor over racial slur in class  ,712017093147820033,1,1,2
4,University Of Kansas Clears Professor Who Used Racial Slur BlackMattersUs Racism BLM  ,711993807860989952,1,1,2
5,University of Kansas clears professor who used racial slur ,711242837807865856,1,1,2
6,Australias election cliffhanger leaves nation in limbo  world news,749463209036296197,2,1,3
7,Australia in limbo as vote counting in tight election to take days  world news,749750164328288256,2,1,3
8,Australian government in limbo with election too close to call  world news,749414149139017728,2,1,3
9,Airlines still favor singleterminal plan for KCI  politics,694742885283942400,3,0,0
10,Air Regulators Vote To Keep Tough California Fuel Standards In Place Through 2025  ,845454524869480448,3,0,0
11,Airlines still favor singleterminal plan for KCI ,694642262903402497,3,0,0
12,MichelleObama tours garden indoor farm at Newark school  ,718263116577026048,4,1,4
13,NJ Students Tour Macys Parade Studio  ,798694895053631489,4,0,0
14,Michelle Obama tours garden indoor farm at Newark school,718206766203277312,4,0,0
15,NGA decision comes down to air base vs urban renewal  politics,713774427121397761,5,0,0
16,NGA decision comes down to air base vs urban renewal  business,713770644073111552,5,0,0
17,NGA decision comes down to air base vs urban renewal  StLouis,713780553758023680,5,0,0
18,Its official Antonio Brown will be on Dancing with the Stars  entertainment,706963226592849920,6,0,0
19,DWTS Week 2 Antonio Brown Sharna Burgess turn up the heat for Latin Night  entertainment,714817745666179072,6,0,0
20,Report Pittsburgh Steelers WR Antonio Brown is joining Dancing with the Stars  entertainment,705784289980354560,6,0,0
21,Houstons new police chief pledges to lead by developing relationships within communit  ,806271312259850240,7,0,0
22,These are the name origins of Houstons iconic streets buildings and other features  ,858804966072487937,7,0,0
23,The history of Houstons Rice Hotel  ,834360944520228865,7,0,0
24,Young architects share visions for Houstons future  ,849219306911137793,7,0,0
25,Ravens cornerback Tray Walker dies of injuries sustained in motorbike accident  sports,710964932573958144,8,0,0
26,Ravens CB Tray Walker dies of dirt bike crash injuries  sports,710970810517708800,8,0,0
27,Ravens Tray Walker dies from accident injuries  sports,711184220836659200,8,0,0
28,If I die it will be in a good  can kill a man but you cant kill an idea  Medgar Evers ,785261623703248896,9,0,0
29,If i die it will be in a good cause You can kill a man but you cant kill an idea   Medgar Evers ,785920297832620032,9,0,0
30,You can kill the person but not the idea ,742154461032763393,9,0,0
31,Twitter unblocked AskJennaAbrams hashtag so if you have Qs for me ask using tag Ill answer in my blog by 815 ,761638441452904449,10,0,0
32,Use your last opportunity to ask me your questions Use AskJennaAbrams or email ,764540061811560449,10,0,0
33,People continue asking me their questions Use AskJennaAbrams or email me Ill answer at the end of the next week ,747074893334740992,10,0,0
34,This is why Richard Nixon taped his White House conversations ,864092145896042496,11,1,9
35,George Carlin is great at explaining things that people dont want to realize Part 3 ,741419990708981761,11,1,9
36,Bob Woodward explains why taped evidence was key in Watergate ,863049801277087745,11,1,9
37,UB40 backs UK opposition leader Corbyn in leadership contest  world news,773192398310486016,12,1,10
38,Corbyn calls for unity after winning Britains Labour leadership vote  world news,779687737838317568,12,1,10
39,UKs Labour rules Corbyn has right to stand again for leadership  world news,752967071802064896,12,1,10
40,ReasonsToProtest out of fried potato,826073712797556736,13,0,0
41,IveHadItUpToHereWith anything with potatoes in it,851826908165799937,13,0,0
42,MyFarewellWordsWouldBe I dont like potato,819199092102492160,13,0,0
43,Man suffers hole in his esophagus after ghost pepper eating contest  news,788760076970373120,14,0,0
44,Ghost pepper burns hole in mans esophagus ,788567113065566208,14,0,0
45,Ghost pepper burns hole in mans esophagus  news,789160373366599680,14,0,0
46, I got 99 problems and nobody in this damn house helps me out with any of them MomSongs ,729961129036877824,15,0,0
47,HighSchoolForMeWas I had 99 problems but a bitch aint one ,806184803267735552,15,0,0
48,No Western Pa high school ranked among top 100 according to report  ,856990850387148800,15,0,0
49, who knows what he has in his basement,751067841311289344,16,0,0
50,  Gosh get back to your basement,865757639225028608,16,0,0
51,Found this in the basement and this is brilliant ,728956727664607232,16,0,0
52,Congress grade so far Incomplete at best  business,736255790588133379,17,1,5
53,Congress grade so far Incomplete at best  news,736458511660421120,17,1,5
54,Congress grade so far Incomplete at best ,736456878486478848,17,1,5
55,Mom Outs Popular Kids Game Site as Predator Breeding Ground  ,850095379970498560,18,0,0
56,What happens to any of us anywhere in the world had better be the business of us all  Emmett Tills mom on her son,769919606051966976,18,0,0
57,Foke New order a daddy app London Sperm Bank Donors lets women browse for sperm donors  Foke,780040337976799232,18,0,0
58,John Glenn laid to rest at Arlington National Cemetery  ,850327887894990848,19,0,0
59,John Glenn lies in state at Ohio capitol for public goodbye  ,809805570723237888,19,0,0
60,John Glenn lies in state at the Ohio Statehouse live coverage  ,809806915396046849,19,0,0
