,tweet_text,tweetid,cluster_label,relevance,theme
0,In The Recruiting Huddle Nadab Joseph  Miami Edison  ,816121969024401408,0,0,0
1,In The Recruiting Huddle Xavier Restrepo  Monarch  ,859140951784247296,0,0,0
2,In The Recruiting Huddle Jean Desir  North Miami Beach  ,865644563184074754,0,0,0
3,In The Recruiting Huddle Zaire Jacobs  St Thomas Aquinas  ,821812729275121664,0,0,0
4,In The Recruiting Huddle TJ Craig  Miami Edison  ,855577051163754496,0,0,0
5,In The Recruiting Huddle Colvin Alford  Coral Reef  ,822175111100977156,0,0,0
6,In The Recruiting Huddle Terrell Perriman  Miami Central  ,839940211190685696,0,0,0
7,RejectedLegoMinifigures La La Land crew winning the Oscar,836964563388141568,1,0,0
8,RejectedLegoMinifigures Brazzers top 10,836959598074544128,1,0,0
9,RejectedLegoMinifigures Putin,836961035227561984,1,0,0
10,Colonoscopy play set RejectedLegoMinifigures,836962464805896192,1,0,0
11,RejectedLegoMinifigures Racist cops,836960986078720000,1,0,0
12,RejectedLegoMinifigures American story X play set ,836969425903431681,1,0,0
13,RejectedLegoMinifigures The Statue of Liberty right boob,836957899423363073,1,0,0
14,Egypt president vows to find and punish killers of Italian student  world news,710039532805095424,2,1,28
15,Egypt House Speaker Wants Illegal Currency Dealers Executed ,763455751700353024,2,1,28
16,Italian killing highlights assault on academic freedom in Egypt  world news,702974551009853440,2,1,28
17,Egyptian union head reported Italian student to police before murder  world news,774276174503522304,2,1,28
18,Exclusive Egyptian police detained Italian student before his murder  sources  world news,723161016750612480,2,1,28
19,Seen them More bald eagles seen in Valley  ,870645254021677056,3,0,0
20,Live streaming cameras show bald eagles nesting  ,699684744347254784,3,0,0
21,Bald eagles make big comeback in San Francisco Bay Area  ,849718357830098945,3,0,0
22,Observers Hays bald eagles may have laid an egg in new nest  ,833479427191357440,3,0,0
23,Shooting deaths of 2 bald eagles in Missouri investigated ,695282690774274048,3,0,0
24,Earthquakes settle for 11 tie at Real Salt Lake  sports,756738521889550337,4,0,0
25,Live updates  FC Cincinnati manages 11 tie with Charlotte  ,873718979239522304,4,0,0
26,Tierney shorthanded Revs play NYCFC to 11 draw  sports,713896992020115456,4,0,0
27,sports Chris Wondolowski scores as Earthquakes settle for 11 tie with Dynamo,759980339770949632,4,0,0
28,sports Earthquakes make magic again in tying DC United 11,716494374683607040,4,0,0
29,New Street Art by Rogue found in Glasgow Scotland   streetart art arte ,841413100884639746,5,0,0
